text,label
Tell me a joke.,general
What is a black hole?,general
Who discovered gravity?,general
How to monitor model execution status?,platform
Who created you?,general
Tell me a joke.,general
What is the email for platform administration?,platform
How to add a new user?,platform
What is the average rainfall in Punjab?,sql
What is Feature Engineering in NPCYF?,platform
When was ISI established?,general
How to upload APY data?,platform
How do airplanes fly?,general
What was the total rainfall in Patna in 2017?,sql
How does Model Building work?,platform
Tell me the humidity levels in Bihar.,sql
How to make coffee?,general
What are the key features of NPCYF?,platform
Explain Copilot.,platform
What was the highest temperature recorded in Kerala?,sql
What is Python?,general
What is love?,general
See you later,general
Suggest a song.,general
Who is the CEO of Google?,general
Can you dance?,general
Why is the sky blue?,general
How do I log in to the platform?,platform
Tell me the humidity levels in Thiruvananthapuram.,sql
Do we have temperature data for Uttar Pradesh?,sql
How to create a new project?,platform
Tell me a story.,general
What is the capital of India?,general
How to access the Dashboard?,platform
How does Copilot work?,platform
Was there a drought in Ludhiana in 2004?,sql
How to configure temporal intervals for features?,platform
What is the difference between Ingestion and ETL?,platform
Tell me about Data Ingestion.,platform
What is the reservoir level of Lucknow?,sql
Who created you?,general
What was the highest temperature recorded in West Bengal?,sql
Who created you?,general
What is your name?,general
What is AI?,general
How to validate data quality?,platform
How to add a new user?,platform
How to export forecast results?,platform
Where do you live?,general
Show crop yields for 2012.,sql
Do we have temperature data for Kerala?,sql
What is the color of the sky?,general
What is the average rainfall in Odisha?,sql
Tell me about Copilot.,platform
What is the best programming language?,general
What is the Training Dataset Analysis module?,platform
What is the update frequency for APY data?,platform
Why is the ocean salty?,general
List all crops grown in Bihar.,sql
What is the smallest bird?,general
Sing a song.,general
How to view project details?,platform
Do we have temperature data for Gujarat?,sql
How does Copilot work?,platform
Why is the ocean salty?,general
List all crops grown in Kolkata.,sql
Count of districts in Punjab.,sql
Explain Copilot.,platform
What is the yield of Rice in Gujarat?,sql
List all crops grown in Patna.,sql
What is the Training Dataset Analysis module?,platform
What was the highest temperature recorded in Odisha?,sql
How to ingest data into the platform?,platform
What is the purpose of Data Management module?,platform
What permissions does a Project Owner have?,platform
Who won the world cup?,general
Bye,general
Show crop yields for 2019.,sql
You are helpful.,general
Explain User Roles.,platform
List all crops grown in Gujarat.,sql
Did it rain in Kerala on 21/4/2012?,sql
What is the date today?,general
Find the maximum temperature of Bihar in 2002.,sql
How to access the Dashboard?,platform
Explain Master Data.,platform
I want to know about User Roles.,platform
How to view project details?,platform
What is the population of Earth?,general
What was the highest temperature recorded in Ahmedabad?,sql
How to use the AI Copilot?,platform
Compare rainfall between Karnataka and Gujarat in 2013.,sql
Give me the area under Sugarcane cultivation in Karnataka.,sql
What is the email for platform administration?,platform
Give me the area under Potato cultivation in Andhra Pradesh.,sql
Count of districts in Punjab.,sql
Compare rainfall between Kerala and Andhra Pradesh in 2013.,sql
Tell me about User Roles.,platform
How to make coffee?,general
Is there any data for Winter season in West Bengal?,sql
Define machine learning.,general
Show me the production of Wheat in Ahmedabad for 2013.,sql
How to manage users in NPCYF?,platform
What was the highest temperature recorded in Karnataka?,sql
What is photosynthesis?,general
Do we have temperature data for West Bengal?,sql
What is ISI?,general
How to create a Feature Master?,platform
How to ingest data into the platform?,platform
Find the maximum temperature of Ahmedabad in 2016.,sql
Did it rain in Patna on 7/2/2001?,sql
How to create a new dataset?,platform
How do I log in to the platform?,platform
Who is the CEO of Google?,general
Good morning,general
Good morning,general
Do we have temperature data for West Bengal?,sql
Suggest a song.,general
How much Sugarcane was produced in 2009?,sql
Find the maximum temperature of Patna in 2023.,sql
What was the total rainfall in Punjab in 2008?,sql
What is your name?,general
What is AI?,general
How to install pandas?,general
How does Forecasting work?,platform
How much Rice was produced in 2018?,sql
What is the currency of Japan?,general
How to install pandas?,general
"What is the total rainfall for Bihar in December, 2002?",sql
Do we have temperature data for Bhubaneswar?,sql
Hello,general
What is the capital of India?,general
How to change my profile settings?,platform
How to download data from IndiaStat?,platform
Is there any data for Kharif season in Bangalore?,sql
How to configure temporal intervals for features?,platform
I need advice.,general
Compare rainfall between Punjab and Bihar in 2023.,sql
Who is the CEO of Google?,general
How to change my profile settings?,platform
How many countries in the world?,general
What is Master Data Management?,platform
What is the yield of Cotton in West Bengal?,sql
What is the best programming language?,general
How to manage users in NPCYF?,platform
What is ISI?,general
Find the maximum temperature of Thiruvananthapuram in 2021.,sql
What is AI?,general
What was the total rainfall in Bihar in 2001?,sql
What is the speed of light?,general
Who is the Prime Minister?,general
How much Sugarcane was produced in 2018?,sql
What is the color of the sky?,general
How to perform ETL operations?,platform
Did it rain in Uttar Pradesh on 6/12/2010?,sql
What is your name?,general
Compare rainfall between Punjab and Kerala in 2021.,sql
What formats are supported for Rainfall data?,platform
How much Sugarcane was produced in 2010?,sql
How to change my profile settings?,platform
What was the highest temperature recorded in Kerala?,sql
What is love?,general
What is the Training Dataset Analysis module?,platform
What is your favorite color?,general
How to create a Feature Master?,platform
How to use the Data Ingestion tutorial?,platform
How to create a Feature Master?,platform
What was the total rainfall in Lucknow in 2012?,sql
How to handle missing values in the dataset?,platform
What is photosynthesis?,general
How to manage users in NPCYF?,platform
Show me the production of Sugarcane in Patna for 2022.,sql
How to create a new project?,platform
What was the highest temperature recorded in Punjab?,sql
What is the best programming language?,general
What was the highest temperature recorded in Uttar Pradesh?,sql
How to ingest data into the platform?,platform
What was the total rainfall in Patna in 2020?,sql
Tell me about Model Building.,platform
I want to know about User Roles.,platform
Tell me a story.,general
Write a poem.,general
How far is the moon?,general
Hi,general
Who is the CEO of Google?,general
Find the maximum temperature of Thiruvananthapuram in 2006.,sql
Are you human?,general
I want to know about Forecasting.,platform
What can you do?,general
What is the date today?,general
What is the largest animal?,general
How to perform ETL operations?,platform
How to associate a dataset with a project?,platform
How many countries in the world?,general
What is the speed of light?,general
What is the email for platform administration?,platform
Was there a drought in Gujarat in 2020?,sql
Was there a drought in Karnataka in 2016?,sql
What is the update frequency for APY data?,platform
What is a Training Feature Set?,platform
Find the maximum temperature of Ahmedabad in 2015.,sql
What is the yield of Wheat in Punjab?,sql
How to handle missing values in the dataset?,platform
What is the smallest bird?,general
What is the minimum temperature in Bhubaneswar?,sql
What is the best movie?,general
"What is the total rainfall for Kolkata in August, 2006?",sql
What is the capital of India?,general
Count of districts in West Bengal.,sql
Where do you live?,general
Do we have temperature data for Bangalore?,sql
Explain Data Ingestion.,platform
Is this a chatbot?,general
What is the meaning of life?,general
How to manage users in NPCYF?,platform
Compare rainfall between Uttar Pradesh and Kerala in 2012.,sql
What is the population of Earth?,general
Who is the CEO of Google?,general
Do we have temperature data for Visakhapatnam?,sql
How to create a new project?,platform
What was the total rainfall in Odisha in 2002?,sql
How to create a Feature Master?,platform
"What is the total rainfall for Karnataka in July, 2019?",sql
What is the update frequency for APY data?,platform
What is ISI?,general
What is the reservoir level of Kerala?,sql
What is a black hole?,general
What is a black hole?,general
Did it rain in Ludhiana on 2/7/2018?,sql
Where do you live?,general
Do aliens exist?,general
How to use the Data Ingestion tutorial?,platform
See you later,general
Who created you?,general
Why is the ocean salty?,general
What was the total rainfall in Gujarat in 2018?,sql
How to use the Data Ingestion tutorial?,platform
What is ISI?,general
What is the largest animal?,general
What are the key features of NPCYF?,platform
What matches are on today?,general
What was the highest temperature recorded in Kolkata?,sql
What is FASAL 2.0?,platform
Count of districts in Andhra Pradesh.,sql
What is the yield of Cotton in Kerala?,sql
What is the best programming language?,general
How to view the logs?,platform
When was ISI established?,general
What is the stock price of Apple?,general
I want to know about Model Building.,platform
"What is the total rainfall for Karnataka in July, 2015?",sql
What is Python?,general
Count of districts in Punjab.,sql
Find the maximum temperature of Ahmedabad in 2016.,sql
Is this a chatbot?,general
Tell me about Data Ingestion.,platform
"What is the total rainfall for West Bengal in July, 2017?",sql
How to configure temporal intervals for features?,platform
Tell me about Data ETL.,platform
How to install pandas?,general
What permissions does a Project Owner have?,platform
Explain Data ETL.,platform
